Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
Italy;won;34;20;+14;1;1;6;3;v Scotland;Rome;5 Feb 2000
Scotland;lost;20;34;-14;2;2;1;1;v Italy;Rome;5 Feb 2000
England;won;50;18;+32;6;4;4;0;v Ireland;Twickenham;5 Feb 2000
Ireland;lost;18;50;-32;2;1;2;0;v England;Twickenham;5 Feb 2000
France;won;36;3;+33;3;3;4;1;v Wales;Millennium Stadium;5 Feb 2000
Wales;lost;3;36;-33;0;0;1;0;v France;Millennium Stadium;5 Feb 2000
England;won;15;9;+6;0;0;5;0;v France;Stade de France;19 Feb 2000
France;lost;9;15;-6;0;0;3;0;v England;Stade de France;19 Feb 2000
Italy;lost;16;47;-31;1;1;2;1;v Wales;Millennium Stadium;19 Feb 2000
Wales;won;47;16;+31;4;3;7;0;v Italy;Millennium Stadium;19 Feb 2000
Ireland;won;44;22;+22;5;5;3;0;v Scotland;Lansdowne Road;19 Feb 2000
Scotland;lost;22;44;-22;3;2;1;0;v Ireland;Lansdowne Road;19 Feb 2000
France;won;28;16;+12;3;2;3;0;v Scotland;Murrayfield;4 Mar 2000
Scotland;lost;16;28;-12;1;1;3;0;v France;Murrayfield;4 Mar 2000
England;won;46;12;+34;5;3;5;0;v Wales;Twickenham;4 Mar 2000
Wales;lost;12;46;-34;0;0;3;1;v England;Twickenham;4 Mar 2000
Ireland;won;60;13;+47;6;6;6;0;v Italy;Lansdowne Road;4 Mar 2000
Italy;lost;13;60;-47;1;1;2;0;v Ireland;Lansdowne Road;4 Mar 2000
England;won;59;12;+47;8;5;2;1;v Italy;Rome;18 Mar 2000
Italy;lost;12;59;-47;2;1;0;0;v England;Rome;18 Mar 2000
Scotland;lost;18;26;-8;2;1;2;0;v Wales;Millennium Stadium;18 Mar 2000
Wales;won;26;18;+8;2;2;4;0;v Scotland;Millennium Stadium;18 Mar 2000
France;lost;25;27;-2;1;1;6;0;v Ireland;Stade de France;19 Mar 2000
